,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
355,0.03789408003106517,0.2566425273829162,0.29453660741398136,"Malaga, Spain",Mauritius,0_10_81,0.0002253982810742003,0.003493543466643658,0.2529235856351983,81
75,0.03803300208392814,0.16392638991996547,0.20195939200389362,"Malaga, Spain",Mauritius,0_10_82,0.0008619209930765745,0.0022485845004543057,0.16081588442643466,82
269,0.03889492307700471,0.23730179929662232,0.276196722373627,"Malaga, Spain",Mauritius,0_10_83,0.0011615878124209486,0.0031923650618033332,0.23294784642239819,83
37,0.03993813496687679,0.13189726833065302,0.1718354032975298,"Malaga, Spain",Mauritius,0_10_84,7.684202315487443e-05,0.001754118155485458,0.1300663081520128,84
506,0.04001497699003166,0.28455868041861115,0.3245736574086428,"Malaga, Spain",Mauritius,0_10_85,0.0003986519860966209,0.0038717637550343973,0.28028826467748014,85
7,0.04004733959700952,0.08232506857022857,0.1223724081672381,"Malaga, Spain",Mauritius,0_10_86,0.00016366644343836917,0.0011308699209891476,0.08103053220580103,86
86,0.04011509508428797,0.169150950215358,0.209266045299646,"Malaga, Spain",Mauritius,0_10_87,0.0002416705989588125,0.002346189545455458,0.16656309007094386,87
759,0.040138965794674256,0.3259680127728863,0.3661069785675605,"Malaga, Spain",Mauritius,0_10_88,0.000126735619305339,0.004412317664678801,0.32142895948890204,88
760,0.04019853004327143,0.3259553961922733,0.36615392623554477,"Malaga, Spain",Mauritius,0_10_89,0.000403584567186456,0.004499123419219757,0.3210526882058671,89
476,0.040332514522036095,0.27971310507030905,0.3200456195923451,"Malaga, Spain",Mauritius,0_10_90,0.0007365634225449114,0.0038027229781923072,0.27517381866957175,90
468,0.04076218255863487,0.2775614706983351,0.31832365325697,"Malaga, Spain",Mauritius,0_10_91,9.801452520811355e-05,0.003822771735599071,0.2736406844375281,91
1148,0.040768800637725644,0.39360929266410044,0.4343780933018261,"Malaga, Spain",Mauritius,0_10_92,6.256895687652836e-05,0.005399025411060207,0.38814769829616347,92
478,0.04080792405889446,0.27991537553484847,0.3207232995937429,"Malaga, Spain",Mauritius,0_10_93,0.0018578487815090264,0.0037019326803079634,0.27435559407303156,93
312,0.04259903695624126,0.24199548209689234,0.2845945190531336,"Malaga, Spain",Mauritius,0_10_94,0.0001138919965261373,0.003192076647493778,0.23868951345287254,94
18,0.0427129289527674,0.10392101022620254,0.14663393917896994,"Malaga, Spain",Mauritius,0_10_95,0.0018369782740378093,0.001350093465645125,0.10073393848651961,95
138,0.044549907226805206,0.19077379696451294,0.23532370419131815,"Malaga, Spain",Mauritius,0_10_96,0.0005188154640615381,0.0025207441578413664,0.1877342373426101,96
612,0.04505663749806009,0.29877341624642706,0.34383005374448716,"Malaga, Spain",Mauritius,0_10_97,0.00017663463497136905,0.0040785475603326874,0.29451823405112304,97
989,0.04514596167080491,0.36043239815380695,0.4055783598246119,"Malaga, Spain",Mauritius,0_10_98,0.0001424828975139722,0.0050533833762364385,0.3552365318800565,98
1472,0.04515578282970593,0.4632639795100763,0.5084197623397823,"Malaga, Spain",Mauritius,0_10_99,0.00012140981956595964,0.006324554025818929,0.4568180156646911,99
509,0.04519380563914505,0.27970292925732054,0.3248967348964656,"Malaga, Spain",Mauritius,0_10_100,0.0008267832986609963,0.003829485107857021,0.2750466608508024,100
186,0.045542743005031146,0.20741411299542956,0.2529568560004607,"Malaga, Spain",Mauritius,0_10_101,0.0005919213120537115,0.002771437358712612,0.20405075432466327,101
782,0.04603102265403804,0.32414350289120103,0.37017452554523905,"Malaga, Spain",Mauritius,0_10_102,0.00023867390181636639,0.004421593340075884,0.3194832356493086,102
17,0.046230993345310986,0.09857954037413176,0.14481053371944275,"Malaga, Spain",Mauritius,0_10_103,0.00234416320758353,0.0013080542073298288,0.09492732295921846,103
9,0.048575156552894516,0.08224549403176828,0.1308206505846628,"Malaga, Spain",Mauritius,0_10_104,0.0005794678894997865,0.0011308699209891479,0.08053515622127932,104
2,0.0491546244423943,0.047010390463421835,0.09616501490581614,"Malaga, Spain",Mauritius,0_10_105,0.00012357962339805406,0.0006433215849751263,0.046243489255048634,105
16,0.04927820406579236,0.09423794261377423,0.14351614667956658,"Malaga, Spain",Mauritius,0_10_106,0.0007319042913747353,0.0012734878284262625,0.09223255049397332,106
5,0.05001010835716709,0.06459247372887372,0.11460258208604082,"Malaga, Spain",Mauritius,0_10_107,0.00011259474400919511,0.0008814297275938198,0.0635984492572707,107
831,0.05012270310117629,0.3278791405832052,0.3780018436843815,"Malaga, Spain",Mauritius,0_10_108,0.0009361554244726525,0.0044430157597827175,0.3224999693989499,108
1010,0.05065702939598131,0.3590909447497183,0.40974797414569963,"Malaga, Spain",Mauritius,0_10_109,0.0003895520319053755,0.004868995999885113,0.3538323967179277,109
1135,0.051046581427886685,0.38054548559597823,0.43159206702386493,"Malaga, Spain",Mauritius,0_10_110,0.00018690892268780068,0.005147697046618567,0.3752108796266716,110
705,0.05120662984327779,0.3071479436914532,0.358354573534731,"Malaga, Spain",Mauritius,0_10_111,0.000315549185739096,0.004180369216145525,0.30265202528956875,111
64,0.05124237041965253,0.14638008697506932,0.19762245739472184,"Malaga, Spain",Mauritius,0_10_112,0.0006957100329781224,0.0020054277777825486,0.14367894916430862,112
667,0.05193808045263065,0.3003846939426134,0.35232277439524406,"Malaga, Spain",Mauritius,0_10_113,0.0008077169894847372,0.004071367494736945,0.2955056094583916,113
42,0.05271283593174975,0.12726628912664167,0.17997912505839142,"Malaga, Spain",Mauritius,0_10_114,0.0014078078318208592,0.0017010777898598243,0.12415740350496106,114
248,0.05412064376357061,0.21682257689955858,0.2709432206631292,"Malaga, Spain",Mauritius,0_10_115,0.0005982317381426558,0.0029361830363918225,0.2132881621250243,115
505,0.05462301325955689,0.269896637708662,0.3245196509682189,"Malaga, Spain",Mauritius,0_10_116,0.0015709223035660358,0.003713494357670028,0.2646122210474259,116
310,0.056193935563122924,0.22820622029199056,0.28440015585511347,"Malaga, Spain",Mauritius,0_10_117,0.0015437762836306573,0.003071216520959999,0.22359122748739987,117
299,0.05748883234815377,0.22565100599097648,0.28313983833913026,"Malaga, Spain",Mauritius,0_10_118,0.0005677587854378205,0.0031521127779109196,0.22193113442762785,118
251,0.05797443265606899,0.2133165134677728,0.2712909461238418,"Malaga, Spain",Mauritius,0_10_119,0.0013753482255434643,0.0028564676553531477,0.20908469758687637,119
96,0.05933945268307915,0.1552420139417804,0.21458146662485955,"Malaga, Spain",Mauritius,0_10_120,0.0003831235225410859,0.0021198414621818205,0.1527390489570576,120
